snapshot-date,sku,fnsku,asin,product-name,condition,available,pending-removal-quantity,inv-age-0-to-90-days,inv-age-91-to-180-days,inv-age-181-to-270-days,inv-age-271-to-365-days,inv-age-366-to-455-days,inv-age-456-plus-days,currency,units-shipped-t7,units-shipped-t30,units-shipped-t60,units-shipped-t90,alert,your-price,sales-price,lowest-price-new-plus-shipping,lowest-price-used,recommended-action,DEPRECATED healthy-inventory-level,recommended-sales-price,recommended-sale-duration-days,recommended-removal-quantity,estimated-cost-savings-of-recommended-actions,sell-through,item-volume,volume-unit-measurement,storage-type,storage-volume,marketplace,product-group,sales-rank,days-of-supply,estimated-excess-quantity,weeks-of-cover-t30,weeks-of-cover-t90,featuredoffer-price,sales-shipped-last-7-days,sales-shipped-last-30-days,sales-shipped-last-60-days,sales-shipped-last-90-days,inv-age-0-to-30-days,inv-age-31-to-60-days,inv-age-61-to-90-days,inv-age-181-to-330-days,inv-age-331-to-365-days,estimated-storage-cost-next-month,inbound-quantity,inbound-working,inbound-shipped,inbound-received,no-sale-last-6-months,Total Reserved Quantity,unfulfillable-quantity,quantity-to-be-charged-ais-181-210-days,estimated-ais-181-210-days,quantity-to-be-charged-ais-211-240-days,estimated-ais-211-240-days,quantity-to-be-charged-ais-241-270-days,estimated-ais-241-270-days,quantity-to-be-charged-ais-271-300-days,estimated-ais-271-300-days,quantity-to-be-charged-ais-301-330-days,estimated-ais-301-330-days,quantity-to-be-charged-ais-331-365-days,estimated-ais-331-365-days,quantity-to-be-charged-ais-366-455-days,estimated-ais-366-455-days,quantity-to-be-charged-ais-456-plus-days,estimated-ais-456-plus-days,historical-days-of-supply,fba-minimum-inventory-level,fba-inventory-level-health-status,Recommended ship-in quantity,Recommended ship-in date,Last updated date for Historical Days of Supply,Exempted from Low-Inventory-Level fee?,Low-Inventory-Level fee applied in current week?,Short term historical days of supply,Long term historical days of supply,Inventory age snapshot date,Inventory Supply at FBA,Reserved FC Transfer,Reserved FC Processing,Reserved Customer Order,Reserved Staging,Total Days of Supply (including units from open shipments),supplier,is-seasonal-in-next-3-months,season-name,season-start-date,season-end-date,Zoho SKU
6/8/2026,RV-DAXK-2RQH,X004WMG0T3,B0C79M1QCM,50 ft RCA to Bare Wire Speaker Cable for Rear Bose Cube Speakers/Acoustimass Lifestyle Systems – Single – White,New,2,0,6,0,0,0,0,0,USD,2,2,3,3,Low traffic,32.88,0,32.88,0,Advertise listing,,0,0,0,250,0.86,0.035576,cubic feet,Standard,0.071152,US,gl_home_entertainment,251565,275,0,24,52,32.88,65.76,65.76,98.64,98.64,0,6,0,0,0,0.36,10,0,10,0,,2,0,,,,,,,,,,,,,,,,,121.7,5,Low stock,,,6/8/2026,Yes,No,114.5,121.7,6/6/2026,14,2,0,2,0,306,unassigned,N,,,,
6/8/2026,H8-S4AZ-5RMQ,X004NDIUJJ,B001NJL6QE,Activision Wireless Drum Kit Set for Guitar Hero World Tour / Band Hero,Used,1,0,0,0,0,0,1,0,USD,,,,,Low traffic,588,0,0,588,Create removal order,,0,0,0,1818.56,0,7.171875,cubic feet,Oversize,7.171875,US,gl_video_games,86682,,1,,,588,,,,,0,0,0,0,0,53.17,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49.49,0,0,,,Excess,,,,,,,,6/6/2026,1,0,0,0,0,,unassigned,N,,,,
6/8/2026,01901-W,X0050BZEJH,B0GN5RY831,Bluetooth WiFi SoundTouch Pedestal for Bose Wave Music System III IV - White,New,1,0,9,0,0,0,0,0,USD,0,1,2,2,Low traffic,178,0,178,0,CreateShippingPlan,,0,0,0,0,0.4,0.444444,cubic feet,Standard,0.444444,US,gl_electronics,494530,91,0,4,6,178,0,178,356,356,8,0,1,0,0,2.37,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,160,3,Healthy,,,6/8/2026,Yes,No,84.5,160,6/6/2026,9,8,0,0,0,91,unassigned,N,,,,
6/8/2026,PT-D051-M7LE,X001P14H5X,B00007AJ8B,Bose 151 Indoor/Outdoor Speaker Pair (White),Used,2,0,0,0,0,2,0,0,USD,,,,,Low traffic,368,0,0,238,Lower price,,0,0,0,420.54,0.46,0.6845,cubic feet,Standard,1.369,US,gl_electronics,414360,,2,,,238,,,,,0,0,0,1,1,9.6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,3.9,0,0,1,4.72,0,0,,,Excess,,,,,,,,6/6/2026,2,0,0,0,0,,unassigned,N,,,,
6/8/2026,T0-QGDN-MOLO,X003U4WNMR,B0001H9TGS,"Bose 151 SE Environmental Speakers, Elegant Outdoor Speakers - Black",Used,3,0,0,0,0,1,2,0,USD,0,0,0,0,Low conversion,698,0,0,698,Lower price,,0,0,0,1031.1,1.6,1.133234,cubic feet,Oversize,3.399702,US,gl_electronics,51603,,3,,,698,0,0,0,0,0,0,0,1,0,23.56,0,0,0,0,,0,0,0,0,0,0,0,0,1,6.18,0,0,0,0,2,15.64,0,0,,,Excess,,,,,,,,6/6/2026,3,0,0,0,0,,unassigned,N,,,,
6/8/2026,8E-DPY2-HPDX,X004MBN5EH,B000XYJ4PU,Guitar Hero III Legends of Rock Wired Bundle -Xbox 360,,0,0,0,0,0,0,1,0,USD,,,,,,0,0,0,0,NoRestockExcessActionRequired,,,0,0,,0,1.011836,cubic feet,Oversize,0,US,gl_video_games,5293,,0,,,249.95,,,,,0,0,0,0,0,,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.98,0,0,,,,,,,,,,,6/6/2026,0,0,0,0,1,,unassigned,N,,,,
6/8/2026,I6-PNFV-DOL4,X004A1SOL3,B0001H9TGI,"Bose 151 SE Environmental Speakers, Elegant Outdoor Speakers - White",Used,2,0,0,0,2,0,0,0,USD,0,0,0,0,Low conversion,728,0,0,488,Lower price,,0,0,0,677.83,1.26,1.171805,cubic feet,Oversize,2.34361,US,gl_electronics,51603,,2,,,488,0,0,0,0,0,0,0,2,0,4.13,0,0,0,0,,0,0,0,0,1,1.17,1,1.76,0,0,0,0,0,0,0,0,0,0,,,Excess,,,,,,,,6/6/2026,2,0,0,0,0,,unassigned,N,,,,
6/8/2026,FX-NYX7-3729,X0049XBP3L,B0001H9TGI,"Bose 151 SE Environmental Speakers, Elegant Outdoor Speakers - White",Used,2,0,2,0,0,0,0,0,USD,,,,,Low conversion,538,0,0,488,Lower price,,,0,0,,1.26,1.171805,cubic feet,Oversize,2.34361,US,gl_electronics,51603,,0,,,488,,,,,0,2,0,0,0,,2,0,0,2,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,6/6/2026,4,0,0,0,0,,unassigned,N,,,,
6/8/2026,VQ-INZ7-DEER,X003H4TW9R,B00006I53B,Bose 161 Speaker System (White) - Ideal for Stereo or Home Theater use,Used,4,0,4,0,0,0,0,0,USD,0,0,0,2,Low traffic,178,0,0,177,NoRestockExcessActionRequired,,176.22,9,0,567.79,1.23,0.641365,cubic feet,Standard,2.56546,US,gl_electronics,82222,,0,,26,177,0,0,0,356,0,4,0,0,0,1.83,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,113.5,6/6/2026,4,0,0,0,0,,unassigned,N,,,,
6/8/2026,BJ-U4WX-4VNW,X00395V50D,B00006I53C,"Bose 251 Environmental Speakers, Premium Outdoor Speakers - Black",,2,0,2,0,0,0,0,0,USD,0,0,0,0,,0,0,599,728,GoToStranded,,718,9,0,860.69,3,1.839188,cubic feet,Oversize,3.678376,US,gl_electronics,39441,,0,,,599,0,0,0,0,0,0,2,0,0,1.89,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,6/6/2026,2,0,0,0,0,,unassigned,N,,,,
6/8/2026,CF-D4XF-E3ZS,X0036X928P,B088KRPCQJ,"Bose TV Speaker - Soundbar for TV with Bluetooth and HDMI-ARC Connectivity, All-in-One Compact Soundbar, Includes Remote Control, Black",,0,0,1,0,0,0,0,0,USD,0,0,1,1,,0,0,279,249.95,CreateShippingPlan,,,0,0,,2.4,0.770165,cubic feet,Oversize,0,US,gl_electronics,1385,,0,,0,279,0,0,238,238,0,1,0,0,0,,0,0,0,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,18,6/6/2026,0,0,0,1,0,,unassigned,N,,,,
6/8/2026,SW-WELV-F79Z,X0049ES8RL,B00006I53C,"Bose 251 Environmental Speakers, Premium Outdoor Speakers - Black",Used,1,0,1,0,0,0,0,0,USD,0,1,3,6,,728,0,599,728,CreateShippingPlan,,599,9,0,405.78,3,1.839188,cubic feet,Oversize,1.839188,US,gl_electronics,39441,,0,4,2,599,0,728,2184,4368,1,0,0,0,0,0.94,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,45,,,,,6/8/2026,Yes,No,45,18.2,6/6/2026,1,0,0,0,0,,unassigned,N,,,,
6/8/2026,WS-T8XQ-RQ74,X0038IWQ0T,B00006L7RV,Bose 301-V Stereo Loudspeakers (Pair) - Black,Used,1,0,0,0,0,2,0,0,USD,,,,,Low conversion,568,0,0,568,Lower price,,0,0,0,856.86,2,3.320169,cubic feet,Oversize,3.320169,US,gl_electronics,77259,,1,,,418,,,,,0,0,0,1,1,20.63,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,1,18.93,0,0,1,22.91,0,0,,,Excess,,,,,,,,6/6/2026,1,0,0,1,0,,unassigned,N,,,,
6/8/2026,62-F6LT-H61O,X003U4W4LR,B011IH685E,"Bose 731396-1100 SoundTouch 10 Wireless Speaker, Works with Alexa, Black",Used,3,0,3,0,0,0,0,0,USD,,,,,Low conversion,338,0,0,338,Lower price,,149,9,0,271.2,1.69,0.274681,cubic feet,Standard,0.824043,US,gl_electronics,52128,,0,,,151,,,,,0,3,0,0,0,0.76,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,6/6/2026,3,0,0,0,0,,unassigned,N,,,,
6/8/2026,04986-N,X004NXDAW1,B001Q9VSHS,PS2 Guitar Hero World Tour - Stand Alone Guitar,,0,0,0,0,0,0,1,0,USD,,,,,Low conversion,0,0,0,197.99,NoRestockExcessActionRequired,,,0,0,,0,0.509259,cubic feet,Oversize,0,US,gl_video_games,18319,,0,,,129.95,,,,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.51,0,0,,,,,,,,,,,6/6/2026,0,0,0,0,0,,unassigned,N,,,,
6/8/2026,SO-LZOA-I5NA,X0045OJM6B,B011IH67NC,"Bose 731396-1200 SoundTouch 10 Wireless Speaker, Works with Alexa, White",Used,5,0,5,0,0,0,0,0,USD,0,0,0,0,Low traffic,198,238,0,238,Lower price,,186,9,0,391.48,0,0.266623,cubic feet,Standard,1.333115,US,gl_electronics,123419,,0,,,190,0,0,0,0,0,5,0,0,0,1.21,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,6/6/2026,5,0,0,0,0,,unassigned,N,,,,
6/8/2026,4L-296S-DL92,X004K5V4AR,B011IH6E26,"Bose 738063-1100 SoundTouch 20 Wireless Speaker, Works with Alexa, Black",Used,1,0,1,0,0,0,0,0,USD,0,0,0,0,Low conversion,468,0,0,468,Lower price,,299,9,0,208.65,0,0.810963,cubic feet,Oversize,0.810963,US,gl_electronics,194987,,0,,,287,0,0,0,0,0,0,1,0,0,0.58,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,6/6/2026,1,0,0,0,0,,unassigned,N,,,,
6/8/2026,04890-N,X004ZR484T,B01K6P08FA,"Bose 767397-1110 Wireless Audio System Adapter, Works with Alexa, Black",Used,2,0,2,0,0,0,0,0,USD,0,1,1,2,Low traffic,258.86,0,0,223.88,NoRestockExcessActionRequired,,223.88,9,0,76.21,3.69,0.047044,cubic feet,Standard,0.094088,US,gl_electronics,169015,,0,8,13,223.88,0,258.86,258.86,576.86,0,0,2,0,0,0.07,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,95.5,,,,,6/8/2026,Yes,No,83,95.5,6/6/2026,2,0,0,0,0,,unassigned,N,,,,
6/8/2026,J9-SFIE-SFMT,X003U4W3Y5,B00NJTX6ZU,Bose CineMate 130 Home Theater System,Used,3,0,0,0,1,2,0,0,USD,0,0,0,0,Low traffic,538,0,0,538,Create removal order,,435,9,0,4397.5,0,5.906312,cubic feet,Oversize,17.718936,US,gl_electronics,262122,,3,,,435,0,0,0,0,0,0,0,2,1,86.47,0,0,0,0,,0,0,0,0,0,0,1,8.86,0,0,1,33.67,1,34.85,0,0,0,0,,,Excess,,,,,,,,6/6/2026,3,0,0,0,0,,unassigned,N,,,,
6/8/2026,03-T8QC-MKT8,X004APNM6L,B00CD1PTF0,Bose Companion 2 Series III Multimedia Speakers - for PC (with 3.5mm AUX & PC Input) Black,Used,1,0,0,1,0,0,0,0,USD,0,0,1,2,Low conversion,188,0,0,186,CreateShippingPlan,,169,9,0,103.56,3.77,0.457022,cubic feet,Standard,0.457022,US,gl_electronics,,,1,,6,158,0,0,188,406,0,0,0,0,0,0.29,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,Excess,,,,,,,75,6/6/2026,1,0,0,0,0,,unassigned,N,,,,
6/8/2026,ZH-B8YN-P1E9,X004E2Y2F5,B00CD1PTF0,Bose Companion 2 Series III Multimedia Speakers - for PC (with 3.5mm AUX & PC Input) Black,Used,11,0,13,0,0,0,0,0,USD,0,2,2,4,,186,0,0,186,NoRestockExcessActionRequired,,169,9,0,1114.52,3.77,0.457022,cubic feet,Standard,5.027242,US,gl_electronics,,,0,22,35,158,0,376,376,752,0,0,13,0,0,3.22,0,0,0,0,,1,0,,,,,,,,,,,,,,,,,201.5,,,,,6/8/2026,Yes,No,201.5,185,6/6/2026,11,0,0,1,0,,unassigned,N,,,,
6/8/2026,BI-O9EQ-2WIR,X004A488TD,B005MJF09A,Bose Personal Music Center III,Used,5,0,0,5,0,0,0,0,USD,0,0,0,0,Low traffic,168,0,0,168,Lower price,,134.4,9,0,217.71,0,0.128333,cubic feet,Standard,0.641665,US,gl_electronics,440043,,5,,,124.99,0,0,0,0,0,0,0,0,0,0.46,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,Excess,,,,,,,,6/6/2026,5,0,0,0,0,,unassigned,N,,,,
6/8/2026,RX-JZZI-WC1I,X004A43XHP,B00482U6FU,Bose RC-35S2 Expansion Remote for Lifestyle V35/V25 Systems,Used,3,0,0,2,1,0,0,0,USD,0,0,0,0,Low traffic,186,0,0,186,Create removal order,,125,9,0,105.92,0,0.077413,cubic feet,Standard,0.232239,US,gl_electronics,426380,,3,,,125,0,0,0,0,0,0,0,1,0,0.28,0,0,0,0,,0,0,0,0,0,0,1,0.12,0,0,0,0,0,0,0,0,0,0,,,Excess,,,,,,,,6/6/2026,3,0,0,0,0,,unassigned,N,,,,
6/8/2026,9W-GKZY-W7MB,X00379UMIH,B000IE8Z4Q,Bose Companion 5 Multimedia Speaker System – Graphite/Silver,,0,0,1,0,0,0,0,0,USD,0,0,3,3,,0,0,0,0,CreateShippingPlan,,,0,0,,6,1.595785,cubic feet,Oversize,0,US,gl_electronics,,,0,,4,272,0,0,1314,1314,1,0,0,0,0,,1,0,0,1,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,6/6/2026,1,0,0,1,0,,unassigned,N,,,,
6/8/2026,KU-W3VN-8ODY,X004DBJMZH,B0183T5TPU,Bose RC-PWS III Universal Remote Control for Solo TV Sound Systems & CineMate Home Theater Speaker Systems,Used,3,0,3,0,0,0,0,0,USD,0,3,6,6,Low traffic,75.88,0,0,75.88,NoRestockExcessActionRequired,,60.7,9,0,206.18,2.15,0.077387,cubic feet,Standard,0.232161,US,gl_electronics,247069,,0,12,19,75.88,0,227.64,455.28,455.28,0,3,0,0,0,0.63,6,0,6,0,,0,0,,,,,,,,,,,,,,,,,56.2,,,,,6/8/2026,Yes,No,35.3,56.2,6/6/2026,9,0,0,0,0,,unassigned,N,,,,
6/8/2026,7H-7YR8-RN1H,X0030JT4XX,B0183T5TPU,Bose RC-PWS III Universal Remote Control for Solo TV Sound Systems & CineMate Home Theater Speaker Systems,Used,1,0,0,1,0,0,0,0,USD,0,0,0,0,Low traffic,98.88,0,0,75.88,Lower price,,75.88,9,0,27.28,2.15,0.077387,cubic feet,Standard,0.077387,US,gl_electronics,247069,,1,,,75.88,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,Excess,,,,,,,,6/6/2026,1,0,0,0,0,,unassigned,N,,,,
6/8/2026,3745,X004O69DL9,B00N1SSX6Q,"Bose Solo 15 TV Sound System, Black",Used,1,0,1,0,0,0,0,0,USD,0,1,1,1,Low traffic,186,0,0,186,NoRestockExcessActionRequired,,148.8,9,0,176.56,2.67,0.814771,cubic feet,Oversize,0.814771,US,gl_electronics,324793,,0,4,13,186,0,186,186,186,0,1,0,0,0,0.58,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,57,,,,,6/8/2026,Yes,No,43,57,6/6/2026,1,0,0,0,0,,unassigned,N,,,,
6/8/2026,0O-SL23-SM1S,X002N5HJKF,B008EWNVI4,Bose Solo TV Sound System,Used,1,0,1,0,0,0,0,0,USD,0,1,1,1,Low traffic,218.88,0,0,125,NoRestockExcessActionRequired,,,0,0,,1.33,1.67125,cubic feet,Oversize,1.67125,US,gl_electronics,189332,,0,4,13,159.95,0,218.88,218.88,218.88,0,1,0,0,0,,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,52,,,,,6/8/2026,Yes,No,38,52,6/6/2026,1,0,0,0,0,,unassigned,N,,,,
6/8/2026,4T-3IUV-R6NI,X004V1QUJ5,B011U9G5IK,Bose Sound Touch Series II Wireless Adapter,Used,3,0,0,0,3,0,0,0,USD,,,,,Low traffic,198,0,0,198,Create removal order,,0,0,0,117.5,0,0.08259,cubic feet,Standard,0.24777,US,gl_electronics,329271,,3,,,198,,,,,0,0,0,3,0,0.55,0,0,0,0,3,0,0,0,0,0,0,3,0.37,0,0,0,0,0,0,0,0,0,0,,,Excess,,,,,,,,6/6/2026,3,0,0,0,0,,unassigned,N,,,,
6/8/2026,00028-1,X00512GR4L,B001GN1IQU,Bose SoundDock Remote - Gray,Used,1,0,1,0,0,0,0,0,USD,0,12,28,38,,27.88,0,0,0,CreateShippingPlan,,22.3,9,0,9.55,8.14,0.001497,cubic feet,Standard,0.001497,US,gl_electronics,83627,,0,0,0,27.88,0,334.56,786.64,1089.44,1,0,0,0,0,0,0,0,0,0,,0,1,,,,,,,,,,,,,,,,,15.4,,,,,6/8/2026,Yes,No,11,15.4,6/6/2026,2,1,0,0,0,,unassigned,N,,,,
