"Incluye  transacciones de Amazon Marketplace, Fulfillment by Amazon (FBA) y Amazon Webstore"
"Todos los importes en MXN, a menos que se especifique"
"Definiciones:"
"fecha/hora: fecha y hora publicadas de la transacción"
"Impuesto de venta cobrado: Incluye impuesto de venta cobrado a los compradores por ventas de productos, envíos y envoltorio de regalo."
"Tarifas de venta: Incluye tarifas de cierre variable y de remisión."
"Tarifas de otra transacción: Incluye reintegros de envío, retenciones de envío y tarifas de cobro de impuestos de venta."
"Otro: Incluye otros importes de transacción no relacionados con el pedido. Para obtener más detalles, consulta las columnas ""Tipo"" y ""Descripción"" para cada Id. de pedido."
"Nota: los reportes con fecha de inicio del 1 de enero de 2025 o posterior se indexan por fecha de publicación, incluyen tanto las transacciones publicadas como las diferidas, y tienen dos columnas nuevas. Es posible que tengas que actualizar integraciones o correlaciones de terceros."
"fecha/hora","Id. de liquidación","tipo","Id. del pedido","sku","descripción","cantidad","marketplace","cumplimiento","ciudad del pedido","estado del pedido","código postal del pedido","modelo de recaudación de impuestos","ventas de productos","impuesto de ventas de productos","créditos de envío","impuesto de abono de envío","créditos por envoltorio de regalo","impuesto de créditos de envoltura","Tarifa reglamentaria","Impuesto sobre tarifa reglamentaria","descuentos promocionales","impuesto de reembolsos promocionales","impuesto de retenciones en la plataforma","tarifas de venta","tarifas fba","tarifas de otra transacción","otro","total","Estado de la transacción","Fecha de liberación de la transacción"
"8 ene 2026 6:46:15 p.m. GMT-8","25296040861","Pedido","702-5475862-0653063","IY-GO3Y-T1CL","USAV Solutions Soportes de Montaje en Pared Negros (par) para Altavoces de satélite Bose Cinemate Series II","1","amazon.com.mx","Amazon","MERIDA","YUCATAN","97314","","475.93","0","0","0","0","0","0","0","0","0","0","-71.39","-162.14","0","0","242.40","Lanzado","8 ene 2026 6:46:15 p.m. GMT-8"
"9 ene 2026 3:37:20 p.m. GMT-8","25296040861","Pedido","701-1587523-3653818","QU-0W1L-CCVB","USAV - Soporte de techo de pared para altavoz Bose Jewel Cube, par de color negro","1","amazon.com.mx","Amazon","VALLE DE BRAVO","MEXICO","51200","","481.30","0","0","0","0","0","0","0","0","0","0","-72.20","-166.91","0","0","242.19","Lanzado","9 ene 2026 3:37:20 p.m. GMT-8"
"9 ene 2026 5:20:30 p.m. GMT-8","25296040861","Tarifa de servicio","","","Suscripción","","Amazon.com.mx","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-265.45","-265.45","Lanzado","9 ene 2026 5:20:30 p.m. GMT-8"
"11 ene 2026 6:56:52 p.m. GMT-8","25296040861","Pedido","702-2492062-3993044","NV-6VNP-5YFT","USAV Adaptador Bluetooth OEM para Bose Wave Music System II III IV AWRCC1, AWRCC2","1","amazon.com.mx","Amazon","CIUDAD DE MEXICO","CIUDAD DE MEXICO","01430","","508.00","0","83.21","0","0","0","0","0","-83.21","0","0","-76.20","-166.91","0","0","264.89","Lanzado","11 ene 2026 6:56:52 p.m. GMT-8"
"27 ene 2026 8:21:47 p.m. GMT-8","25508833181","Trasferir","","","Para la cuenta que termina en 786","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-711.45","-711.45","Lanzado","27 ene 2026 8:21:47 p.m. GMT-8"
"5 feb 2026 8:53:54 p.m. GMT-8","25508833181","Pedido","702-6986705-7617834","IY-GO3Y-T1CL","USAV Solutions Soportes de Montaje en Pared Negros (par) para Altavoces de satélite Bose Cinemate Series II","1","amazon.com.mx","Amazon","CIUDAD VICTORIA","TAMAULIPAS","87084","","460.95","0","0","0","0","0","0","0","0","0","0","-69.15","-154.67","0","0","237.13","Lanzado","5 feb 2026 8:53:54 p.m. GMT-8"
"9 feb 2026 6:17:01 p.m. GMT-8","25630190201","Tarifa de servicio","","","Suscripción","","Amazon.com.mx","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-261.00","-261.00","Lanzado","9 feb 2026 6:17:01 p.m. GMT-8"
"10 feb 2026 7:40:44 p.m. GMT-8","25630190201","Trasferir","","","Para la cuenta que termina en 786","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-37.47","-37.47","Lanzado","10 feb 2026 7:40:44 p.m. GMT-8"
"20 feb 2026 6:23:13 p.m. GMT-8","25630190201","Pedido","702-5868477-9487468","FJ-YYXV-BKTN","USAV - Juego de 5 cables de altavoz para sistema Bose Lifestyle Acoustimass - RCA a cable desnudo","1","amazon.com.mx","Amazon","GOMEZ PALACIO","DURANGO","35090","","1,131.66","0","0","0","0","0","0","0","0","0","0","-169.75","-203.02","0","0","758.89","Lanzado","20 feb 2026 6:23:13 p.m. GMT-8"
"23 feb 2026 7:56:17 p.m. GMT-8","25738544701","Pedido","702-6038781-7501834","NV-6VNP-5YFT","USAV Adaptador Bluetooth OEM para Bose Wave Music System II III IV AWRCC1, AWRCC2","1","amazon.com.mx","Amazon","HERMOSILLO","SONORA","83079","","508.00","0","0","0","0","0","0","0","0","0","0","-76.20","-159.10","0","0","272.70","Lanzado","23 feb 2026 7:56:17 p.m. GMT-8"
"24 feb 2026 8:54:37 p.m. GMT-8","25738544701","Pedido","701-7876736-5413843","NV-6VNP-5YFT","USAV Adaptador Bluetooth OEM para Bose Wave Music System II III IV AWRCC1, AWRCC2","1","amazon.com.mx","Amazon","JIUTEPEC","MORELOS","62577","","508.00","0","0","0","0","0","0","0","0","0","0","-76.20","-159.10","0","0","272.70","Lanzado","24 feb 2026 8:54:37 p.m. GMT-8"
"25 feb 2026 6:37:38 p.m. GMT-8","25738544701","Pedido","701-6134172-3504217","FJ-YYXV-BKTN","USAV - Juego de 5 cables de altavoz para sistema Bose Lifestyle Acoustimass - RCA a cable desnudo","1","amazon.com.mx","Amazon","CIUDAD DE MEXICO","CIUDAD DE MEXICO","01030","","1,130.99","0","0","0","0","0","0","0","0","0","0","-169.65","-203.02","0","0","758.32","Lanzado","25 feb 2026 6:37:38 p.m. GMT-8"
"25 feb 2026 6:57:04 p.m. GMT-8","25738544701","Pedido","702-1713565-2039454","FJ-YYXV-BKTN","USAV - Juego de 5 cables de altavoz para sistema Bose Lifestyle Acoustimass - RCA a cable desnudo","1","amazon.com.mx","Amazon","monterrey","nuevo leon","64346","","1,130.99","0","121.33","0","0","0","0","0","-121.33","0","0","-169.65","-203.02","0","0","758.32","Lanzado","25 feb 2026 6:57:04 p.m. GMT-8"
"27 feb 2026 10:10:29 p.m. GMT-8","25738544701","Pedido","701-0625115-7935419","NV-6VNP-5YFT","USAV Adaptador Bluetooth OEM para Bose Wave Music System II III IV AWRCC1, AWRCC2","1","amazon.com.mx","Amazon","ZAPOPAN","JALISCO","45168","","508.00","0","0","0","0","0","0","0","0","0","0","-76.20","-154.67","0","0","277.13","Lanzado","27 feb 2026 10:10:29 p.m. GMT-8"
"4 mar 2026 9:10:41 p.m. GMT-8","25738544701","Pedido","702-4621459-4781041","NV-6VNP-5YFT","USAV Adaptador Bluetooth OEM para Bose Wave Music System II III IV AWRCC1, AWRCC2","1","amazon.com.mx","Amazon","CIUDAD DE MEXICO","CIUDAD DE MEXICO","14140","","508.00","0","0","0","0","0","0","0","0","0","0","-76.20","-154.67","0","0","277.13","Lanzado","4 mar 2026 9:10:41 p.m. GMT-8"
"9 mar 2026 2:19:12 p.m. GMT-7","25850339931","Tarifa de servicio","","","Suscripción","","Amazon.com.mx","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-45.70","-45.70","Lanzado","9 mar 2026 2:19:12 p.m. GMT-7"
"9 mar 2026 10:39:34 p.m. GMT-7","25850339931","Reembolso","701-6134172-3504217","FJ-YYXV-BKTN","USAV - Juego de 5 cables de altavoz para sistema Bose Lifestyle Acoustimass - RCA a cable desnudo","1","amazon.com.mx","Amazon","CIUDAD DE MEXICO","CIUDAD DE MEXICO","01030","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Lanzado","9 mar 2026 10:39:34 p.m. GMT-7"
"10 mar 2026 8:44:15 p.m. GMT-7","25850339931","Trasferir","","","Para la cuenta que termina en 786","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2,797.06","-2,797.06","Lanzado","10 mar 2026 8:44:15 p.m. GMT-7"
"11 mar 2026 10:07:34 p.m. GMT-7","25850339931","Pedido","701-5659241-9272245","IY-GO3Y-T1CL","USAV Solutions Soportes de Montaje en Pared Negros (par) para Altavoces de satélite Bose Cinemate Series II","1","amazon.com.mx","Amazon","ZAPOPAN","JALISCO","45237","","471.17","0","0","0","0","0","0","0","0","0","0","-70.68","-154.67","0","0","245.82","Lanzado","11 mar 2026 10:07:34 p.m. GMT-7"
"22 mar 2026 9:40:08 p.m. GMT-7","25850339931","Pedido","702-6189460-2357006","IY-GO3Y-T1CL","USAV Solutions Soportes de Montaje en Pared Negros (par) para Altavoces de satélite Bose Cinemate Series II","1","amazon.com.mx","Amazon","AGUASCALIENTES","AGUASCALIENTES","20278","","468.15","0","41.58","0","0","0","0","0","-41.58","0","0","-140.45","-154.67","0","0","173.03","Lanzado","22 mar 2026 9:40:08 p.m. GMT-7"
"22 mar 2026 9:40:08 p.m. GMT-7","25850339931","Pedido","702-6189460-2357006","IY-GO3Y-T1CL","USAV Solutions Soportes de Montaje en Pared Negros (par) para Altavoces de satélite Bose Cinemate Series II","1","amazon.com.mx","Amazon","AGUASCALIENTES","AGUASCALIENTES","20278","","468.15","0","41.58","0","0","0","0","0","-41.58","0","0","0","-154.67","0","0","313.48","Lanzado","22 mar 2026 9:40:08 p.m. GMT-7"
"24 mar 2026 8:43:22 p.m. GMT-7","25963213801","Trasferir","","","Para la cuenta que termina en 786","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-754.38","-754.38","Lanzado","24 mar 2026 8:43:22 p.m. GMT-7"
"28 mar 2026 4:03:37 p.m. GMT-7","25963213801","Pedido","701-4902743-3369825","D6-NL91-DTCE","Consola de control Bose de repuesto para Bose Lifestyle V25 V35 135","1","amazon.com.mx","Amazon","MERIDA","YUCATAN","97113","","9,171.27","0","455.84","0","0","0","0","0","-455.84","0","0","-873.70","-468.27","0","0","7,829.30","Lanzado","28 mar 2026 4:03:37 p.m. GMT-7"
"7 abr 2026 9:41:08 p.m. GMT-7","26088520781","Trasferir","","","Para la cuenta que termina en 786","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-486.51","-486.51","Lanzado","7 abr 2026 9:41:08 p.m. GMT-7"
"7 abr 2026 10:39:17 p.m. GMT-7","26215171391","Pedido","701-9032085-3012206","QU-0W1L-CCVB","USAV - Soporte de techo de pared para altavoz Bose Jewel Cube, par de color negro","4","amazon.com.mx","Amazon","CIUDAD DE MEXICO","CIUDAD DE MEXICO","01210","","1,925.20","0","116.64","0","0","0","0","0","-116.64","0","0","-288.79","-636.40","0","0","1,000.01","Lanzado","21 abr 2026 1:48:27 a.m. GMT-7"
"9 abr 2026 5:26:44 p.m. GMT-7","26088520781","Tarifa de servicio","","","Suscripción","","Amazon.com.mx","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-45.90","-45.90","Lanzado","9 abr 2026 5:26:44 p.m. GMT-7"
"20 abr 2026 12:40:00 p.m. GMT-7","26215171391","Reembolso","701-4902743-3369825","D6-NL91-DTCE","Consola de control Bose de repuesto para Bose Lifestyle V25 V35 135","1","amazon.com.mx","Amazon","MERIDA","YUCATAN","97113","","-9,171.27","0","-455.84","0","0","0","0","0","455.84","0","0","798.69","151.42","0","0","-8,221.16","Lanzado","20 abr 2026 12:40:00 p.m. GMT-7"
"20 abr 2026 6:59:50 p.m. GMT-7","26215171391","Pedido","701-8455298-3925062","IY-GO3Y-T1CL","USAV Solutions Soportes de Montaje en Pared Negros (par) para Altavoces de satélite Bose Cinemate Series II","1","amazon.com.mx","Amazon","NAUCALPAN DE JUAREZ","MEXICO","53250","","463.94","0","0","0","0","0","0","0","0","0","0","-69.59","-160.08","0","0","234.27","Lanzado","1 may 2026 12:37:30 a.m. GMT-7"
"2 may 2026 3:06:29 a.m. GMT-7","26215171391","Pedido","701-6663430-2779402","XJ-285I-S0WO","USAV Soportes de montaje en pared para altavoz Bose 161 151 SE negro, par","1","amazon.com.mx","Amazon","SAN NICOLÁS DE LOS GARZA","NUEVO LEÓN","66490","","508.33","0","85.82","0","0","0","0","0","-85.82","0","0","-76.25","-164.67","0","0","267.41","Diferido",
"2 may 2026 5:30:22 p.m. GMT-7","26215171391","Pedido","701-7183956-0677024","QU-0W1L-CCVB","USAV - Soporte de techo de pared para altavoz Bose Jewel Cube, par de color negro","1","amazon.com.mx","Amazon","SAN PEDRO GARZA GARCIA","NUEVO LEON","66250","","481.30","0","0","0","0","0","0","0","0","0","0","-72.20","-164.67","0","0","244.43","Diferido",
"5 may 2026 9:43:27 p.m. GMT-7","26357181521","Trasferir","","","Para la cuenta que termina en 786","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-796.52","-796.52","Lanzado","5 may 2026 9:43:27 p.m. GMT-7"
