order_number,sku,name,condition,color,repair service,conditions,option,batterie type,delivery method,for,confition,conidtion,upgrade kit,model,condition:,item cost,cable length,timestamp,payment_method,payment_status,fulfillment_status,fulfillment_status_code,order_subtotal,order_tax,order_shipping,order_handling_fee,order_total,order_total_excluding_shipping_cost,order_tax_1_name,order_tax_1_value,order_tax_2_name,order_tax_2_value,order_tax_3_name,order_tax_3_value,order_tax_4_name,order_tax_4_value,discount,tips,surcharges
4741,4817,REPAIR SERVICE for Bose Sounddock Series II,,,,,,,,,,,,,,,,5/20/2026 12:55,Credit or debit card,Paid,Awaiting Processing,NEW,86,0,74.9,0,160.9,86,,,,,,,,,0,,
4740,3881,"Replacement GRILLE, METAL for Bose 251 Environmental Speaker",,White,,,,,,,,,,,,,,5/20/2026 7:32,PayPal,Paid,Shipped,SHIPPED,134,0,14.67,0,148.67,134,,,,,,,,,0,,
4739,1029,Replacement CD drive for Bose Music Wave System 269866-01,USAV Refurbished - This item has undergone a thorough inspection and cleaning process to ensure it is in very good condition. It has been tested and is confirmed to work great.,,,,,,,,,,,,,,,5/19/2026 18:54,Credit or debit card,Paid,Shipped,SHIPPED,63.88,4.95,15.99,0,84.82,68.83,California State Tax,3.99,Sacramento County Tax,0.64,,,Special District Tax,0.32,0,,
4738,1035,Bose Wave Music System  AWRCC1 AWRCC2 CD Player Radio CD Control Circuit Board,,,,,,,,,,,,,,,,5/19/2026 10:19,PayPal,Paid,Shipped,SHIPPED,118.88,0,8.49,0,127.37,118.88,,,,,,,,,0,,
4737,00106-RS,REPAIR SERVICE  for Bose Wave® music system IV,,,,,,,,,,,,,,,,5/18/2026 9:09,PayPal,Paid,Awaiting Processing,NEW,198,0,32.3,0,230.3,198,,,,,,,,,0,,
4736,1218,S-Video to HDMI Output Upgrade Kit For Bose Lifestyle AV18 AV28 AV38 AV48,New,,,,,,,,,,,,,,,5/18/2026 4:31,Credit or debit card,Paid,Awaiting Processing,NEW,200.76,15.56,0,0,216.32,216.32,California State Tax,12.54,Orange County Tax,2.01,,,Special District Tax,1,0,,
4736,00021-RS,Bose Repair Service For Bose Lifestyle AV28 Media Center,,,,,,,,,,,,,,,,5/18/2026 4:31,Credit or debit card,Paid,Awaiting Processing,NEW,200.76,15.56,0,0,216.32,216.32,California State Tax,12.54,Orange County Tax,2.01,,,Special District Tax,1,0,,
4736,01791-6,USAV Bluetooth Adapter for Wave Radio CD player AWRC-1G AWRC-1P,,,,,,,,,,,,,,,,5/18/2026 4:31,Credit or debit card,Paid,Awaiting Processing,NEW,200.76,15.56,0,0,216.32,216.32,California State Tax,12.54,Orange County Tax,2.01,,,Special District Tax,1,0,,
4735,01233-1,Speaker cable for Bose 3-2-1 Home Theater System Speaker 321 Cable (Subwoofer to Speakers),Used - Very good condition,,,,,,,,,,,,,,,5/17/2026 15:33,Credit or debit card,Paid,Shipped,SHIPPED,176.76,0,10.13,0,186.89,176.76,,,,,,,,,0,,
4735,119,Bose Acoustimass Module Cable -Subwoofer To Media Center For Bose 321 Series I,,,,,,,,,,,,,,,,5/17/2026 15:33,Credit or debit card,Paid,Shipped,SHIPPED,176.76,0,10.13,0,186.89,176.76,,,,,,,,,0,,
4735,1206,FM antenna for Bose Wave System,Used Very Good,,,,,,,,,,,,,,,5/17/2026 15:33,Credit or debit card,Paid,Shipped,SHIPPED,176.76,0,10.13,0,186.89,176.76,,,,,,,,,0,,
4735,1145,Bose 321 Series 2 and 3 Remote Control,,,,,,,,,,,,,,,,5/17/2026 15:33,Credit or debit card,Paid,Shipped,SHIPPED,176.76,0,10.13,0,186.89,176.76,,,,,,,,,0,,
4734,1029,Replacement CD drive for Bose Music Wave System 269866-01,USAV Refurbished - This item has undergone a thorough inspection and cleaning process to ensure it is in very good condition. It has been tested and is confirmed to work great.,,,,,,,,,,,,,,,5/17/2026 9:51,Credit or debit card,Refunded,Delivery Canceled,WILL_NOT_DELIVER,63.88,4.95,0,0,68.83,68.83,California State Tax,3.99,Orange County Tax,0.64,,,Special District Tax,0.32,0,,
4733,738,"Genuine BOSE Speaker Driver 2-1/4"" Full Range Twiddle speaker",,,,,,,,,,,,,,,,5/16/2026 18:15,PayPal,Paid,Shipped,SHIPPED,23.76,0,0,0,23.76,23.76,,,,,,,,,0,,
4732,1775,Bose CineMate 520 Home Theater Sound System,"Used - USAV Refurbished: This item have been inspected, cleaned and tested by our technician to work and look very good",,,,,,,,,,,,,,,5/16/2026 16:06,Phone order,Awaiting Payment,Awaiting Processing,NEW,1706,0,272.53,0,1978.53,1706,,,,,,,,,0,,
4732,1032,Bose Lifestyle V10 Home Theater System - White,"Used - USAV Refurbished: This item have been inspected, cleaned and tested by our technician to work and look very good",,,,,,,,,,,,,,,5/16/2026 16:06,Phone order,Awaiting Payment,Awaiting Processing,NEW,1706,0,272.53,0,1978.53,1706,,,,,,,,,0,,
4731,1029,Replacement CD drive for Bose Music Wave System 269866-01,USAV Refurbished - This item has undergone a thorough inspection and cleaning process to ensure it is in very good condition. It has been tested and is confirmed to work great.,,,,,,,,,,,,,,,5/16/2026 12:36,Credit or debit card,Paid,Shipped,SHIPPED,63.88,0,16.49,0,80.37,63.88,,,,,,,,,0,,
4730,00004-RS,Bose Wave® music system REPAIR SERVICE for Model AWRCC1 AWRCC2,,,,,,,,,,,,,,,,5/16/2026 11:00,Credit or debit card,Paid,Awaiting Processing,NEW,125,0,20.21,0,145.21,125,,,,,,,,,0,,
4729,4704,Bose Power Adapter Supply for Lifestyle 650/600   Control Console,,,,,,,,,,,,,,,,5/16/2026 8:01,Credit or debit card,Paid,Awaiting Processing,NEW,78.88,6.11,0,0,84.99,84.99,California State Tax,4.93,Orange County Tax,0.79,,,Special District Tax,0.39,0,,
4728,1151,Bose RC-5 RemoteControl,,,,,,,,,,,,,,,,5/16/2026 7:18,Credit or debit card,Paid,Shipped,SHIPPED,66,6.6,7.99,0,80.59,72.6,California State Tax,4.13,Santa Clara County Tax,0.66,,,Special District Tax,1.82,0,,
4727,00007-RS,REPAIR SERVICE for Bose Wave  Radio,,,,,,,,,,,,,,,,5/16/2026 6:24,Credit or debit card,Paid,Awaiting Processing,NEW,90,6.98,0,0,96.98,96.98,California State Tax,5.62,Orange County Tax,0.9,,,Special District Tax,0.45,0,,
4726,00004-RS,Bose Wave® music system REPAIR SERVICE for Model AWRCC1 AWRCC2,,,,,,,,,,,,,,,,5/15/2026 14:56,Credit or debit card,Paid,Awaiting Processing,NEW,125,0,20.21,0,145.21,125,,,,,,,,,0,,
4725,1035,Bose Wave Music System  AWRCC1 AWRCC2 CD Player Radio CD Control Circuit Board,,,,,,,,,,,,,,,,5/15/2026 13:38,PayPal,Paid,Shipped,SHIPPED,118.88,0,10.13,0,129.01,118.88,,,,,,,,,0,,
4724,1268,Bose wave connect kit for Bose wave music system,,,,,,,,,,,,,,,,5/15/2026 7:52,PayPal,Paid,Shipped,SHIPPED,57,0,10.13,0,67.13,57,,,,,,,,,0,,
4723,4821,Screwdriver for Bose Soundlink Color II,,,,,,,,,,,,,,,,5/15/2026 7:50,Credit or debit card,Paid,Awaiting Processing,NEW,12.88,1,0,0,13.88,13.88,California State Tax,0.8,Orange County Tax,0.13,,,Special District Tax,0.06,0,,
4722,00008-G,Bose Acoustic Wave Music System CD-3000 Graphite Grey Black,Used - USAV Refurbished - This item has undergone a thorough inspection and cleaning process to ensure it is in very good condition. It has been tested and is confirmed to work great.,,,,,,,,,,,,,,,5/15/2026 2:32,PayPal,Paid,Shipped,SHIPPED,298,0,51.36,0,349.36,298,,,,,,,,,0,,
4721,1029,Replacement CD drive for Bose Music Wave System 269866-01,New  - PN: 360148-0010,,,,,,,,,,,,,,,5/14/2026 19:17,PayPal,Paid,Shipped,SHIPPED,101.88,10.19,15.99,0,128.06,112.07,California State Tax,6.37,Sonoma County Tax,1.02,,,Special District Tax,2.8,0,,
4720,1292,Bluetooth Adapter for Bose Sounddock 10,NEW,,,,,,,,,,,,,,,5/14/2026 15:54,Credit or debit card,Paid,Shipped,SHIPPED,66.76,0,9.53,0,76.29,66.76,,,,,,,,,0,,
4720,182,Bose SoundDock Series I Type A Sound Processor Board Part,,,,,,,,,,,,,,,,5/14/2026 15:54,Credit or debit card,Paid,Shipped,SHIPPED,66.76,0,9.53,0,76.29,66.76,,,,,,,,,0,,
4719,00007-RS,REPAIR SERVICE for Bose Wave  Radio,,,,,,,,,,,,,,,,5/14/2026 9:03,PayPal,Paid,Awaiting Processing,NEW,90,7.43,20.83,0,118.26,97.43,California State Tax,5.62,Merced County Tax,0.9,,,Special District Tax,0.9,0,,
4718,1658,"Bose 301 Series IV (Pair, genuine walnut)","Used - USAV Refurbished: This item have been inspected, cleaned and tested by our technician to work and look very good",,,,,,,,,,,,,,,5/13/2026 15:11,Credit or debit card,Partially Refunded,Shipped,SHIPPED,228,0,118.17,0,346.17,228,,,,,,,,,0,,
4717,09885-R,REPAIR SERVICE for Bose SoundLink Bluetooth Speaker III,,,,,,,,,,,,,,,,5/13/2026 13:08,Credit or debit card,Paid,Awaiting Processing,NEW,128,0,19.85,0,147.85,128,,,,,,,,,0,,
4716,00971-RS,Bose Repair Service For Bose Lifestyle Series Remote Control RC18T1-27,,,,,,,,,,,,,,,,5/13/2026 0:03,Credit or debit card,Paid,Awaiting Processing,NEW,68,0,39.43,0,107.43,68,,,,,,,,,0,,
4715,93,Bose (40390) SL2 wireless surround link,"Used - USAV Refurbished: This item have been inspected, cleaned and tested by our technician to work and look very good",,,,,,,,,,,,,,,5/12/2026 17:47,Credit or debit card,Paid,Shipped,SHIPPED,119.88,0,11.84,0,131.72,119.88,,,,,,,,,0,,
4714,00004-RS,Bose Wave® music system REPAIR SERVICE for Model AWRCC1 AWRCC2,,,,,,,,,,,,,,,,5/11/2026 19:11,PayPal,Paid,Awaiting Processing,NEW,125,9.69,14.63,0,149.32,134.69,California State Tax,7.81,San Diego County Tax,1.25,,,Special District Tax,0.62,0,,
4713,1068,Original Power Supply PSM36W-201 for Bose SoundDock I +/- 18 V Series I AC Adapt,,,,,,,,,,,,,,,,5/11/2026 16:06,Credit or debit card,Paid,Shipped,SHIPPED,26.88,2.08,7.45,0,36.41,28.96,California State Tax,1.68,San Bernardino County Tax,0.27,,,Special District Tax,0.13,0,,
4712,04816-1,Bose 161 Speaker - Replacement Speaker Driver,,,,,,,,,,,,,,,,5/11/2026 15:30,PayPal,Paid,Shipped,SHIPPED,64,0,10.13,0,74.13,64,,,,,,,,,0,,
4711,1029,Replacement CD drive for Bose Music Wave System 269866-01,,,,,,,,,,,,,,,,5/11/2026 12:43,PayPal,Paid,Shipped,SHIPPED,116,0,18.13,0,134.13,116,,,,,,,,,0,,
